Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
OK1013,Oklahoma,OK,Minimum purchase and sale age - handguns,Restrictive,Implement,1/1/1910,"Not sure about day + month, so using January 1.",1,1,1910,"Okla. Stat. Ann. tit. 21, § 1273(A)","A. It shall be unlawful for any person within this state to sell or give to any child any of the arms or weapons designated in Section 1272 of this title; provided, the provisions of this section shall not prohibit a parent of a child or legal guardian of a child, or a person acting with the permission of the parent of the child or legal guardian of the child, from giving the child a firearm for participation in hunting animals or fowl, hunter safety classes, education and training in the safe use and handling of firearms, target shooting, skeet, trap or other sporting events or competitions, except as provided in subsection B of this section.",1,18,,,,
OK1014,Oklahoma,OK,Minimum purchase and sale age - long guns,Restrictive,Implement,6/7/1993,,6,7,1993,"Okla. Stat. Ann. tit. 21, § 1273(A)","A. It shall be unlawful for any person within this state to sell or give to any child any of the arms or weapons designated in Section 1272 of this title; provided, the provisions of this section shall not prohibit a parent of a child or legal guardian of a child, or a person acting with the permission of the parent of the child or legal guardian of the child, from giving the child a firearm for participation in hunting animals or fowl, hunter safety classes, education and training in the safe use and handling of firearms, target shooting, skeet, trap or other sporting events or competitions, except as provided in subsection B of this section.",,18,,,,
OK1015,Oklahoma,OK,Minimum purchase and sale age - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,1,,,,,H
OK1016,Oklahoma,OK,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
OK1017,Oklahoma,OK,Open Carry license required - handguns,Permissive,Implement,9/1/1995,,9,1,1995,Okla. Stat. Ann. tit. 21 § 1290.5,"A handgun license when issued shall authorize the person to whom the license is issued to carry a loaded or unloaded handgun, concealed or unconcealed, as authorized by the provisions of the Oklahoma Self-Defense Act, and any future modifications thereto. ",,,,,,
OK1018,Oklahoma,OK,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
OK1019,Oklahoma,OK,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
OK1020,Oklahoma,OK,Waiting period - handguns and long guns,,,,,,,,,No law imposing waiting period for purchase of handguns or long guns,1,,,,,G
OR1001,Oregon,OR,Background Checks for private sales - handguns and long guns,Restrictive,Implement,5/11/2015,,5,11,2015,Or. Rev. Stat. §§ 166.433 - 166.438,"166.433  Findings regarding transfers of firearms.
The people of this state find that:
     (1) The laws of Oregon regulating the sale of firearms contain a loophole that allows people other than gun dealers to sell firearms at gun shows without first conducting criminal background checks; and
     (2) It is necessary for the safety of the people of Oregon that any person who transfers a firearm at a gun show be required to request a criminal background check before completing the transfer of the firearm.",,,,,,
OR1002,Oregon,OR,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
OR1003,Oregon,OR,Background checks for sales from dealers - handguns,Restrictive,Implement,1/1/1990,,1,1,1990,Or. Rev. Stat. § 166.412(2),"(2) Except as provided in subsections (3)(c) and (12) of this section, a gun dealer shall comply with the following before a handgun is delivered to a purchaser:
     (a) The purchaser shall present to the dealer current identification meeting the requirements of subsection (4) of this section.
     (b) The gun dealer shall complete the firearms transaction record and obtain the signature of the purchaser on the record.
     (c) The gun dealer shall obtain the thumbprints of the purchaser on the firearms transaction thumbprint form and attach the form to the gun dealer's copy of the firearms transaction record to be filed with that copy.
     (d) The gun dealer shall request by telephone that the department conduct a criminal history record check on the purchaser and shall provide the following information to the department:
         (A) The federal firearms license number of the gun dealer;
         (B) The business name of the gun dealer;
         (C) The place of transfer;
         (D) The name of the person making the transfer;
         (E) The make, model, caliber and manufacturer's number of the handgun being transferred;
         (F) The name and date of birth of the purchaser;
         (G) The Social Security number of the purchaser if the purchaser voluntarily provides this number to the gun dealer; and
         (H) The type, issuer and identification number of the identification presented by the purchaser.
     (e) The gun dealer shall receive a unique approval number for the transfer from the department and record the approval number on the firearms transaction record and on the firearms transaction thumbprint form.
     (f) The gun dealer may destroy the firearms transaction thumbprint form five years after the completion of the firearms transaction thumbprint form.",,,,,,
OR1004,Oregon,OR,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
OR1005,Oregon,OR,Background checks for sales from dealers - long guns,Restrictive,Implement,1/1/2001,,1,1,2001,Or. Rev. Stat. § 166.434(1),"(1) Notwithstanding the fact that ORS 166.412 requires a gun dealer to request a criminal history record check only when transferring a handgun, a gun dealer shall comply with the requirements of ORS 166.412 before transferring any firearm to a purchaser. The provisions of ORS 166.412 apply to the transfer of firearms other than handguns to the same extent that they apply to the transfer of handguns.",,,,,,
OR1006,Oregon,OR,Carrying a concealed weapon (CCW) - may issue,Permissive,Implement,1/1/1935,"Not sure about day + month, so using January 1.",1,1,1935,Or. Code Sec. 72-205 et seq.,"72-205. Concealed weapons prohibited-Penalty-Exceptions.-Except as otherwise provided in this act, it shall be unlawful for any person within this state to carry concealed upon his person or within any vehicle which is under his control or direction any pistol, revolver or other firearm capable of being concealed upon the person without having a license to carry such firearm, as hereinafter provided in section 8 hereof [§ 72-208, Oregon Code].   72-208. Permits to carry concealed weapons-Application and license.- It shall be lawful for the sheriff of a county, and the board of police commissioners, chief of police, city marshal, town marshal, or other head of the police department of any city, county, town, or other municipal corporation of this state, upon proof before said board, chief, marshal or other police head, that the person applying therefore is of good moral character, and that good cause exists for the issuance thereof, to issue to such person a license to carry concealed a pistol, revolver or other firearm for a period of one year from the date of such license. All applications for such licenses shall be filed in writing, signed by the applicant, and shall state the name, occupation, residence and business address of the applicant, his age, height, weight, color of eyes and hair, and reason for desiring a license to carry such weapon. Any license issued upon such application shall set forth the foregoing data and shall, in addition, contain a description of the weapon authorized to be carried, giving the name of the manufacturer, the serial number and the caliber thereof. When such licenses are issued by a sheriff a record thereof shall be kept in the office of the county clerk; when issued by police authority such record shall be maintained in the office of the authority by whom issued. Such applications and licenses shall be uniform throughout the state, upon forms to be prescribed by the attorney general.",1,,,Not certain that the correct year is 1973. Worth looking further.,,
